ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
SLC43A1,-1.368957595,6.836065583,-10.77159259,1.43E-23,3.76E-22,42.74531558
SLC39A5,-1.466438228,6.073557685,-10.76150549,1.55E-23,4.05E-22,42.66397284
IFI6,1.080707821,7.135262382,10.74380307,1.80E-23,4.66E-22,42.52131219
TFF1,2.235533597,7.69038532,10.7097434,2.37E-23,6.05E-22,42.24716364
COL4A1,1.090324879,8.6819907,10.70796739,2.40E-23,6.13E-22,42.2328804
ANPEP,-2.049569416,8.050294876,-10.66524071,3.40E-23,8.42E-22,41.88962129
NUCB2,-1.237573956,8.863796615,-10.65730167,3.63E-23,8.96E-22,41.82591702
IL2RG,1.123612591,6.762381658,10.63459458,4.36E-23,1.07E-21,41.6438445
IL1R2,1.198519295,5.978562155,10.62111365,4.87E-23,1.17E-21,41.53584384
DACT1,1.048589918,6.194360052,10.6089537,5.37E-23,1.29E-21,41.43848613
KLF5,1.128577494,7.109150903,10.55411896,8.38E-23,1.95E-21,41.00016676
TCN1,2.10863535,7.371403518,10.55022875,8.64E-23,2.01E-21,40.96911487
GAS2,-1.067481468,5.154573233,-10.50152723,1.28E-22,2.90E-21,40.58087792
SLC16A10,-1.418346742,6.323097756,-10.4970827,1.33E-22,3.00E-21,40.54549353
MAL2,1.233717955,8.996244819,10.48082008,1.51E-22,3.41E-21,40.41608786
BACE1,-1.305654392,7.156275541,-10.45939185,1.80E-22,3.98E-21,40.24573766
S100A4,1.117005545,7.812226116,10.45765989,1.82E-22,4.03E-21,40.23197687
MT1M,-1.227390946,6.914246883,-10.44642647,2.00E-22,4.41E-21,40.14275385
CP,1.867765407,5.744643216,10.44053244,2.09E-22,4.60E-21,40.09595972
NCF2,1.15743292,6.521245851,10.43715325,2.15E-22,4.72E-21,40.06913777
GUCA1C,-1.696357911,3.843491024,-10.39139267,3.11E-22,6.68E-21,39.70636681
LUM,1.017974596,10.3596994,10.34501737,4.50E-22,9.45E-21,39.33958036
F8,-1.193466239,5.713249748,-10.32490294,5.29E-22,1.10E-20,39.18076372
ANXA1,1.219003329,9.68079729,10.31292682,5.82E-22,1.20E-20,39.08628245
RBPJL,-1.937729409,5.634257269,-10.31015657,5.95E-22,1.22E-20,39.06443584
GPHA2,-1.297728323,5.52252242,-10.30114953,6.39E-22,1.31E-20,38.99342666
PM20D1,-1.660202989,4.518495347,-10.28897755,7.05E-22,1.44E-20,38.89751848
MT1F,-1.10733978,8.743186209,-10.28635276,7.20E-22,1.47E-20,38.87684462
MUC16,1.15783608,4.099290196,10.27600687,7.82E-22,1.59E-20,38.79538374
FAM83D,1.128019569,4.713998277,10.26941619,8.24E-22,1.67E-20,38.74351323
GPNMB,1.213556897,6.902575928,10.26356016,8.63E-22,1.74E-20,38.69743963
