	logFC	AveExpr	t	P.Value	adj.P.Val	B
PDK4	-1.79545295187188	7.51133016923415	-12.9954133763641	8.38811892436818e-32	8.52740452433178e-30	61.4861489725868
RAB31	1.42817443695694	8.14239049753056	12.9951642202443	8.40659123709214e-32	8.52740452433178e-30	61.483972344988
AHNAK2	1.21468892174959	4.61079585770472	12.9784558335174	9.74252465303282e-32	9.82371235847476e-30	61.3380408930061
NPC1	1.05696950802103	6.9834110702362	12.9767189248358	9.89300757968622e-32	9.83044931521824e-30	61.3228744276052
MARVELD1	0.709212356927305	7.04018679015125	12.9766377856674	9.90009372552284e-32	9.83044931521824e-30	61.3221659479526
MPZL2	0.920152524068025	6.05142044364485	12.976372482008	9.92329889552727e-32	9.83044931521824e-30	61.3198494172698
AHR	1.05353020497489	8.54839382590791	12.9712640742009	1.03808395362104e-31	1.02239198688026e-29	61.2752479513135
CCDC141	-1.03009252740625	4.00150694638248	-12.9602809691665	1.14370218175803e-31	1.11990259878503e-29	61.1793752390529
MFAP2	1.07326860588242	7.14591439060378	12.9589736547283	1.15696696777066e-31	1.12638048471465e-29	61.1679654331943
MICU1	0.600612010490551	6.54577207468323	12.9527308113112	1.2224565246352e-31	1.18333791584687e-29	61.1134855042267
LDHA	1.0055674680111	10.9329841097444	12.9490095607181	1.26323849346146e-31	1.21586704995665e-29	61.0810153210785
RRAS	0.90406894737771	7.17102824185142	12.9449583716668	1.30917983604044e-31	1.25296646454944e-29	61.0456699275453
FAM46C	-0.89863749523244	6.30547064158761	-12.9185540197939	1.65224124755702e-31	1.5724138614391e-29	60.8153948435982
OCIAD2	1.09289829739255	7.74106085158474	12.9163133048675	1.68518468310966e-31	1.59480606323338e-29	60.795860928902
ATP2C1	0.61075988749796	6.75286494293266	12.9113812139693	1.76002252832064e-31	1.65637675720842e-29	60.7528685607605
LIPH	1.45412661161487	5.92702544162191	12.9085362418759	1.80468859216531e-31	1.68902899178345e-29	60.7280719508395
MGLL	1.13574798994897	6.76482388113761	12.8913259050065	2.10003437896445e-31	1.95464738349768e-29	60.5781087189017
AOX1	-1.75256944799719	6.2891112352538	-12.8897408167193	2.12954754580119e-31	1.97128608884547e-29	60.5643005134502
BTG2	-1.15554403321288	7.45481845919533	-12.8759456580999	2.40450273281972e-31	2.21371066815033e-29	60.4441518716133
PTPN12	0.9135141770948	7.92557980494288	12.8737728875561	2.45092396909146e-31	2.24425146142753e-29	60.4252323234842
IGFL2	1.300743962715	4.71794905589544	12.8653225222286	2.64011847900142e-31	2.39324456487341e-29	60.351660950782
CTSA	0.736044326597393	8.34558807209143	12.865246140176	2.64189335083429e-31	2.39324456487341e-29	60.350996024249
RASAL2	0.924062880468448	6.19659780886281	12.8460968287464	3.1265691086321e-31	2.8172383351185e-29	60.1843403339582
TMEM87A	0.61877942555367	7.54111269192127	12.8375983634093	3.36915535503859e-31	3.01976146636792e-29	60.1104068486868
ZNF532	0.923599573332368	6.1622110177347	12.8355161444801	3.43139915588284e-31	3.05936324740291e-29	60.0922949806345
SHISA2	1.20318349324434	5.3317731446544	12.8338110076072	3.48322360522789e-31	3.0893093126995e-29	60.0774638850758
